1620721955.38269925, 31.790375, 35.218701, nan
1620721955.49041200, 31.790375, 35.218701, nan
1620721955.59814310, 31.790375, 35.218701, nan
1620721955.71188617, 31.790375, 35.218701, nan
1620721955.81650233, 31.790375, 35.218701, nan
1620721955.92527127, 31.790375, 35.218701, nan
1620721956.11284518, 31.790375, 35.218701, nan
1620721956.21057296, 31.790375, 35.218701, nan
1620721956.30225587, 31.790375, 35.218701, nan
1620721956.41295290, 31.790375, 35.218701, nan
1620721956.50473809, 31.790375, 35.218701, nan
1620721956.59749389, 31.790375, 35.218701, nan
1620721956.70736408, 31.790375, 35.218701, nan
1620721956.90966082, 31.790375, 35.218701, nan
1620721957.00735378, 31.790375, 35.218701, nan
1620721957.11708713, 31.790375, 35.218701, nan
1620721957.20783401, 31.790375, 35.218701, nan
1620721957.30154991, 31.790374, 35.218701, nan
1620721957.41428351, 31.790374, 35.218701, nan
1620721957.50503159, 31.790374, 35.218701, nan
1620721957.61676192, 31.790374, 35.218701, nan
1620721957.80024600, 31.790373, 35.218703, nan
1620721957.91201806, 31.790373, 35.218703, nan
1620721958.00873232, 31.790372, 35.218704, nan
1620721958.11539674, 31.790372, 35.218705, nan
1620721958.22408700, 31.790372, 35.218706, nan
1620721958.33580446, 31.790372, 35.218707, nan
1620721958.44454336, 31.790371, 35.218708, nan
1620721958.55423713, 31.790371, 35.218709, nan
1620721958.65995526, 31.790370, 35.218711, nan
1620721958.76865244, 31.790370, 35.218712, nan
1620721958.87935591, 31.790369, 35.218714, nan
1620721958.99307203, 31.790369, 35.218715, nan
1620721959.11475205, 31.790368, 35.218719, nan
1620721959.30220747, 31.790366, 35.218724, nan
1620721959.40994740, 31.790365, 35.218725, nan
1620721959.50767803, 31.790365, 35.218728, nan
1620721959.70915294, 31.790363, 35.218734, nan
1620721959.80189466, 31.790362, 35.218737, nan
1620721959.91361547, 31.790361, 35.218740, nan
1620721960.00533795, 31.790360, 35.218744, nan
1620721960.20680928, 31.790358, 35.218750, nan
1620721960.30255318, 31.790356, 35.218754, nan
1620721960.50305247, 31.790353, 35.218760, nan
1620721960.60174823, 31.790352, 35.218764, nan
1620721960.70846725, 31.790351, 35.218767, nan
1620721960.91395950, 31.790348, 35.218775, nan
1620721961.00866818, 31.790346, 35.218778, nan
1620721961.11239195, 31.790345, 35.218782, nan
1620721961.20917511, 31.790343, 35.218785, nan
1620721961.30190563, 31.790342, 35.218788, nan
1620721961.41156840, 31.790340, 35.218792, nan
1620721961.50536871, 31.790338, 35.218795, nan
1620721961.61306405, 31.790336, 35.218799, nan
1620721961.72175288, 31.790334, 35.218802, nan
1620721961.83145976, 31.790333, 35.218806, nan
1620721961.94515800, 31.790331, 35.218809, nan
1620721962.11569071, 31.790327, 35.218816, nan
1620721962.20948434, 31.790325, 35.218820, nan
1620721962.32018661, 31.790323, 35.218823, nan
1620721962.41190934, 31.790321, 35.218826, nan
1620721962.50568914, 31.790319, 35.218829, nan
1620721962.61340690, 31.790317, 35.218832, nan
1620721962.80388641, 31.790313, 35.218838, nan
1620721962.90958047, 31.790311, 35.218841, nan
1620721963.00332689, 31.790309, 35.218845, nan
1620721963.11705351, 31.790307, 35.218847, nan
1620721963.20980310, 31.790305, 35.218850, nan
1620721963.30254531, 31.790303, 35.218853, nan
1620721963.40922499, 31.790301, 35.218856, nan
1620721963.50599265, 31.790299, 35.218859, nan
1620721963.61269808, 31.790297, 35.218862, nan
1620721963.70643425, 31.790296, 35.218865, nan
1620721963.80022430, 31.790294, 35.218868, nan
1620721963.91488361, 31.790292, 35.218871, nan
1620721964.01960731, 31.790290, 35.218874, nan
1620721964.13030505, 31.790288, 35.218877, nan
1620721964.23801327, 31.790286, 35.218881, nan
1620721964.34773993, 31.790284, 35.218885, nan
1620721964.46140885, 31.790282, 35.218888, nan
1620721964.57117891, 31.790280, 35.218891, nan
1620721964.67984629, 31.790278, 35.218894, nan
1620721964.78510165, 31.790276, 35.218897, nan
1620721964.89925575, 31.790274, 35.218900, nan
1620721965.00498247, 31.790270, 35.218905, nan
1620721965.11374593, 31.790268, 35.218908, nan
1620721965.22537684, 31.790266, 35.218911, nan
1620721965.33107686, 31.790265, 35.218913, nan
1620721965.44577909, 31.790263, 35.218915, nan
1620721965.55650091, 31.790261, 35.218917, nan
1620721965.65922141, 31.790260, 35.218919, nan
1620721965.81581545, 31.790258, 35.218923, nan
1620721965.91454291, 31.790257, 35.218925, nan
1620721966.00733519, 31.790255, 35.218927, nan
1620721966.11308455, 31.790254, 35.218930, nan
1620721966.30448723, 31.790252, 35.218934, nan
1620721966.41120315, 31.790251, 35.218936, nan
1620721966.50398207, 31.790249, 35.218939, nan
1620721966.71143842, 31.790246, 35.218943, nan
1620721966.91088057, 31.790244, 35.218947, nan
1620721967.00860572, 31.790243, 35.218949, nan
1620721967.11233258, 31.790242, 35.218951, nan
1620721967.20610905, 31.790241, 35.218952, nan
1620721967.30381823, 31.790240, 35.218954, nan
1620721967.41155243, 31.790239, 35.218955, nan
1620721967.52519798, 31.790239, 35.218956, nan
1620721967.62895441, 31.790238, 35.218958, nan
1620721967.81545854, 31.790237, 35.218961, nan
1620721967.91025019, 31.790237, 35.218962, nan
1620721968.00596881, 31.790237, 35.218963, nan
1620721968.11368728, 31.790236, 35.218964, nan
1620721968.21137929, 31.790236, 35.218964, nan
1620721968.41486430, 31.790237, 35.218965, nan
1620721968.61432457, 31.790237, 35.218967, nan
1620721968.70608640, 31.790237, 35.218967, nan
1620721968.91052198, 31.790237, 35.218968, nan
